Genus,species,Family,Milne,Kimbe,Bootless,Madang,Bismark Sea,Museum Bootless,Total Areas,Fished,length (cm)
Lutjanus,fulviflamma,Lutjanidae,1,1,0,1,1,0,4,fished,35
Lutjanus,fulvus,Lutjanidae,1,1,0,1,1,1,5,fished,40
Lutjanus,gibbus,Lutjanidae,1,1,1,1,1,1,6,fished,50
Lutjanus,goldiei,Lutjanidae,0,0,0,1,0,0,1,fished,120
Lutjanus,kasmira,Lutjanidae,1,1,0,1,1,1,5,fished,40
Lutjanus,lutjanus,Lutjanidae,1,0,0,0,0,0,1,fished,35
Lutjanus,madras,Lutjanidae,1,0,0,1,0,0,2,fished,30
Lutjanus,malabaricus,Lutjanidae,0,0,0,1,0,0,1,fished,100
Lutjanus,maxweberi,Lutjanidae,0,0,0,1,0,0,1,fished,15
Lutjanus,mizenkoi,Lutjanidae,1,0,0,1,0,0,2,fished,32
Lutjanus,monostigma,Lutjanidae,1,1,0,1,1,0,4,fished,60
Lutjanus,quinquelineatus,Lutjanidae,1,0,0,1,1,0,3,fished,31
Lutjanus,rivulatus,Lutjanidae,1,1,0,1,1,0,4,fished,80
Lutjanus,rufolineatus,Lutjanidae,1,1,0,1,0,0,3,fished,30
Lutjanus,russelli,Lutjanidae,1,1,0,1,1,1,5,fished,50
Lutjanus,sebae,Lutjanidae,1,1,0,0,0,0,2,fished,116
Lutjanus,semicinctus,Lutjanidae,1,1,1,1,1,1,6,fished,35
Lutjanus,timorensis,Lutjanidae,1,1,0,1,0,0,3,fished,50
Lutjanus,vitta,Lutjanidae,1,0,0,1,1,0,3,fished,40
Lutjanus ,rufolineatus,Lutjanidae,1,1,0,1,0,0,3,Fished,30
Macolor,macularis,Lutjanidae,1,1,1,1,1,0,5,fished,60
Macolor,niger,Lutjanidae,1,1,0,1,1,0,4,fished,75
Paracaesio,kusakarii,Lutjanidae,0,1,0,0,0,0,1,fished,60
Paracaesio,sordidus,Lutjanidae,1,1,0,0,0,0,2,fished,48
Paracaesio,xanthuru,Lutjanidae,1,0,0,0,0,0,1,fished,50
Pinjalo,lewisi,Lutjanidae,0,1,0,1,1,0,3,fished,50
Pristipomoides,typus,Lutjanidae,0,1,0,0,0,0,1,fished,70
Pristipomoides,zonatus,Lutjanidae,0,1,0,0,0,0,1,fished,50
Symphorichthys,spilurus,Lutjanidae,1,1,1,1,1,0,5,fished,60
Symphorus,nematophorus,Lutjanidae,1,0,0,1,1,0,3,fished,100
Aluterus,scriptus,Monacanthidae,1,1,1,1,1,0,5,Fished,110
Crenimugil ,crenilabris,Mugilidae,1,0,0,0,0,0,1,Fished,60
Liza ,vaigiensis,Mugilidae,1,0,0,0,1,1,3,Fished,63
Mulloides ,vanicolensis,Mullidae,0,0,0,0,0,0,0,Fished,38
Parupeneus,barberinus,Mullidae,1,1,0,1,0,0,3,Fished,60
Parupeneus ,cyclostomus,Mullidae,1,1,0,1,0,0,3,Fished,50
Parupeneus ,indicus,Mullidae,1,1,1,1,0,0,4,Fished,45
Pentapodus,trivittatus,Nemipteridae,1,1,1,0,1,0,4,Fished,28
Scolopsis,margaritiferaæ,Nemipteridae,1,1,0,1,1,0,4,Fished,28
Parapercis ,clathrata,Pinguipedidaeæ,1,1,1,1,1,0,5,Fished,23
Abudefduf,lorenzi,Pomacentridae,1,1,1,1,1,0,5,not fished,18
Abudefduf,septemfasciatus,Pomacentridae,1,1,0,1,0,0,3,not fished,23
Abudefduf,sexfasciatus,Pomacentridae,1,0,1,1,1,1,5,not fished,19
Abudefduf,sordidus,Pomacentridae,1,0,0,0,0,0,1,not fished,24
Abudefduf,vaigiensis,Pomacentridae,1,1,0,1,1,0,4,not fished,20
Acanthochromis,polyacantha,Pomacentridae,1,1,0,1,1,0,4,not fished,14
Amblyglyphidodon,aureus,Pomacentridae,1,1,1,1,1,0,5,not fished,13
Amblyglyphidodon,batunai,Pomacentridae,1,0,0,0,0,0,1,not fished,10
Amblyglyphidodon,curacao,Pomacentridae,1,1,1,1,1,0,5,not fished,11
Amblyglyphidodon,leucogaster,Pomacentridae,1,1,1,1,1,0,5,not fished,13
Amblyglyphidodon,ternatensis,Pomacentridae,1,1,0,1,1,0,4,not fished,10
Amblypomacentrus,breviceps,Pomacentridae,1,1,0,0,0,0,2,not fished,8.5
Amphiprion,chrysopterus,Pomacentridae,1,1,0,1,1,0,4,not fished,17
Amphiprion,clarkii,Pomacentridae,1,1,1,1,1,0,5,not fished,15
Amphiprion,leucokranos,Pomacentridae,1,0,0,0,1,0,2,not fished,12
Amphiprion,melanopus,Pomacentridae,1,1,1,1,1,1,6,not fished,12
Amphiprion,percula,Pomacentridae,1,1,1,1,1,0,5,not fished,11
Amphiprion,perideraion,Pomacentridae,1,1,1,1,1,0,5,not fished,10
Amphiprion,polymnus,Pomacentridae,1,1,1,1,1,0,5,not fished,13
Amphiprion,sandaracinos,Pomacentridae,1,1,0,1,1,0,4,not fished,14
Cheiloprion,labiatus,Pomacentridae,1,1,0,1,0,0,3,not fished,6
Chromis,alpha,Pomacentridae,1,1,0,1,1,0,4,not fished,8.5
Chromis,amboinensis,Pomacentridae,1,1,1,1,1,0,5,not fished,10
Chromis,analis,Pomacentridae,1,1,0,1,1,1,5,not fished,17
Chromis,atripectoralis,Pomacentridae,1,1,1,0,1,0,4,not fished,12
Chromis,atripes,Pomacentridae,1,1,1,1,1,0,5,not fished,9
Chromis,caudalis,Pomacentridae,1,0,0,0,0,0,1,not fished,7.5
Chromis,delta,Pomacentridae,1,1,0,1,1,0,4,not fished,7
Chromis,elerae,Pomacentridae,1,1,0,1,1,0,4,not fished,7
Chromis,howsoni,Pomacentridae,1,0,0,0,0,0,1,not fished,5.6
Chromis,iomelas,Pomacentridae,1,0,0,0,0,0,1,not fished,8
Chromis,lepidolepis,Pomacentridae,1,1,0,1,1,0,4,not fished,9
Chromis,lineata,Pomacentridae,1,1,0,1,1,0,4,not fished,7
Chromis,margaritifer,Pomacentridae,1,1,1,1,1,0,5,not fished,9
Chromis,retrofasciata,Pomacentridae,1,1,1,1,1,0,5,not fished,6
Chromis,ternatensis,Pomacentridae,1,1,1,1,1,0,5,not fished,10.5
Chromis,viridis,Pomacentridae,1,1,1,1,1,0,5,not fished,10
Chromis,weberi,Pomacentridae,1,1,1,1,1,0,5,not fished,13.5
Chromis,xanthochira,Pomacentridae,1,1,0,1,1,0,4,not fished,14
Chromis,xanthura,Pomacentridae,1,1,0,1,1,0,4,not fished,17
Chrysiptera,arnazae,Pomacentridae,0,0,0,1,0,0,1,not fished,3.9
Chrysiptera,biocellata,Pomacentridae,1,1,0,1,1,0,4,not fished,12.5
Chrysiptera,brownriggii,Pomacentridae,0,0,0,1,1,0,2,not fished,8
Chrysiptera,caruleolineata,Pomacentridae,1,1,0,1,0,0,3,not fished,6
Chrysiptera,cyanea,Pomacentridae,1,1,0,1,1,0,4,not fished,8.5
Chrysiptera,cymatilis,Pomacentridae,1,0,0,1,1,0,3,not fished,3.6
Chrysiptera,flavipinnis,Pomacentridae,1,0,0,0,1,0,2,not fished,8
Chrysiptera,glauca,Pomacentridae,0,0,0,1,0,0,1,not fished,11.5
Chrysiptera,leucopoma,Pomacentridae,1,0,0,0,0,0,1,not fished,8
Chrysiptera,oxycephala,Pomacentridae,1,1,0,1,0,0,3,not fished,9
Chrysiptera,parasema,Pomacentridae,0,1,0,0,1,0,2,not fished,7
Chrysiptera,rex,Pomacentridae,1,1,0,1,1,0,4,not fished,7
Chrysiptera,rollandi,Pomacentridae,1,1,1,1,1,0,5,not fished,7.5
Chrysiptera,sinclari,Pomacentridae,0,0,0,0,1,0,1,not fished,5
Chrysiptera,talboti,Pomacentridae,1,1,1,1,1,0,5,not fished,6
Chrysiptera,unimaculata,Pomacentridae,1,1,0,1,1,0,4,not fished,10
Dascyllus,aruanus,Pomacentridae,1,1,1,1,1,1,6,not fished,10
Dascyllus,melanurus,Pomacentridae,1,1,0,1,1,0,4,not fished,8
Dascyllus,reticulatus,Pomacentridae,1,1,0,1,1,0,4,not fished,9
Dascyllus,trimaculatus,Pomacentridae,1,1,1,1,1,0,5,not fished,14
Dischistodus,chrysopoecilus,Pomacentridae,1,1,0,0,1,0,3,not fished,15
Dischistodus,melanotus,Pomacentridae,1,1,0,1,1,0,4,not fished,16
